Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encripted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABoGRbJwr0MIrVUQx8Fq5EwluTxZOAcRKmoPYfRjlEqHTidvKr7_48q3DMBWM5pepRhAxSjc71-hauuD1GDUj6MbW-UbREq6F8pcK0PJ91-pp0ZrOI=,gAAAAABoGRbJVBaKR-OMawk45V3_VjGEeliW9tG3ibLuohTBqyXeBKlNjS1HViOBWBczOATEEbjv-WULUG7IcOt5YszMUIQ0wg==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABoGRbJeBnHuYT5aLhATxYgBiMRRtorJmyDSxuvf2iMVO5qjgWuSE1qbpalxxrGsbqSCNfa1aj3to5PMJNGWLyFUKV-i_O4ee6iVMp5oN0SuD0iHI4=,gAAAAABoGRbJTKK2vywnXJy-lM1pTXcgNnCqugrOvahLrHu0Jh6l8p7dYIFuJpt48CXi3RoReAu8Ls4UWgxFeluajgB_FJ_8Gg==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABoGRbJVQYhf2orIvd3Qz7q4zYuPpf28YJuwUuYLOv6cs2XQVk2GOqwDqliRAJSSOHSy4WHoZ_GGpU2FaptP6-Xt1pQ_7xKsa8ha8sa-1GF50ERmgA=,gAAAAABoGRbJZ9OK0BBwm7mIiXVz0-f1kcJfEjVOPdNNiPDgAkwHtVt7hi7xszOaQOBvI2igtCtCLdL8RNYE5zT77pm49ujbYw==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABoGRbJsiJxNser66WaGT7b9ac3BNHMUWGgPtRZN_v8G9YqItoyQ4XYJr5zZg6GIJRRhRRQ34FktZ4Gj--KOYQieuwMaq-tI6mCoEbkkxxoHaBzGzc=,gAAAAABoGRbJQFssIj_lB3ODtp5Xc-CGqUUnTIux1lJoYTqoNaZyV31SN538jwXOAZ9WfqKPRSzJ2HlP6As4hl4PVAkaR2u4MQ==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABoGRbJKAbQdHcaDSjx2c0PlNXvUDmRgF6oPtfgEYkAj1WOaD-rXL7Ld4v-dJuk9wfVa9H5otUyQoakjdjuXKmp7Bda3zRLEDIm1KqS4sBqqTG6ajc=,gAAAAABoGRbJcsA_XGzBReudEM1S0UYyz8l01yPtA5o9GmOH7mY4w9Spu3zvaOut7QRttx9dxSQ0Ifk5G0LYE2RsmWHOc-A2Eg==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABoGRbJ1cUqX8IUk0NR76ECbJ51KHAfNK9ld1PHQfFHwltaVe311kko19dOvqiDbjVXfElc4wq2InZEsT6OtxcXSw52okHRhndceBpX9cnYkmo-s9A=,gAAAAABoGRbJuKQ_hSnwYeXVftb71xqdGY70jS7_wwTUY3jfPi6YcHR6nC9RnPrVi5RM05hpGG82pTSOoDOb_xob3lKFat-V5A==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABoGRbJq7kXQlB-RPxBumu9sGXZFOOQ5NPe2sfaVhl3PtSLA5xt8KS7bibRHaasVbpBa9Zxho1Uo1aE3g5VbpdEaqbWWdnJsNgKnhgBwXDR9F8GLuI=,gAAAAABoGRbJhjUCfam_iqLy6mEKd81iWh0Vg8PTC1JKUFPO1NJK5D8gPN1IlllAXILbncvnHjMXBkzGGk3ZKoW-EruVVoUIZg==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABoGRbJ_ltikvk0L_DJkAShj5VeKc34x5ttQm4BrYrGYqdH8VE0HTzoUxNPnd_FYI45A2xAYD29rsNaT2sZkIlU4OEsMT5XktnkYz6rDtBREetSfvk=,gAAAAABoGRbJSsigCJjeec_Fr4zGkqv-5-6XdvYFZKb0FjpIit-7ILyBG-EDSJU_SSFgmSMmg6_T-I574FefEkRYnbsApkAosA==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABoGRbJ9XPKgFNaCAw6vXvsvky0VG1WoF5sBQncXMpHJvBtjiPXUTdh-BP2u4dlkqsQcdsWJ7BgIhrUWODSM2YErK_MT8y96_NMIJfeoV1qPEg-hOk=,gAAAAABoGRbJsAPDJnfYiJgYel9oRKZi_mGlsWSkFSeezKKMbtWVijk7eGlibj6OyPxa4KYALY35pdJsl-gJKSIXqu5DXtOtoQ==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABoGRbJpDTalfexP-Ae7yEmCdFXDu1BDbNj4-QsDprh293ZsDyWVXrwo4dzPrWq9JKkPsoAa-yDrUrGS85ksLImMnP7H6QCGeK843wcpwLB-hUf1FU=,gAAAAABoGRbJcZizwCpDLSv85mz5W602YyP32__vMbFeznuuTk2k1hrxOlE04NkvVXCm7zQdNMK8Uap8_rDAyk4vHROMGA-Ojw==
